# name, rarity, ancient name (makes more sense if you look at any of the gene csvs :)
Fae,Plentiful,Modern
Guardian,Plentiful,Modern
Mirror,Plentiful,Modern
Pearlcatcher,Common,Modern
Ridgeback,Common,Modern
Tundra,Plentiful,Modern
Spiral,Common,Modern
Imperial,Limited,Modern
Snapper,Common,Modern
Wildclaw,Rare,Modern
Nocturne,Limited,Modern
Coatl,Rare,Modern
Skydancer,Uncommon,Modern
Bogsneak,Uncommon,Modern
Obelisk,Uncommon,Modern
Fathom,Uncommon,Modern
Gaoler,Ancient,Gaoler
Banescale,Ancient,Banescale
Veilspun,Ancient,Veilspun
Aberration,Ancient,Aberration
Undertide,Ancient,Undertide
Aether,Ancient,Aether
Sandsurge,Ancient,Sandsurge
Auraboa,Ancient,Auraboa
Dusthide,Ancient,Dusthide
Everlux,Ancient,Everlux
Cirrus,Ancient,Cirrus
Vigil,Ancient,Vigil
Thorntail,Ancient,Thorntail
