# name, hex code, colour wheel index (0-indexed)
Maize,#FFFDEA,0
White,#FFFFFF,3
Ice,#F1F3FF,5
Platinum,#C8BECE,7
Silver,#BBBABF,8
Grey,#808080,10
Charcoal,#555555,16
Coal,#4B4946,17
Black,#333333,19
Obsidian,#1D2224,20
Midnight,#292B38,22
Shadow,#3A2E44,23
Mulberry,#6E235D,25
Thistle,#8F7C8B,28
Lavender,#CCA4E0,31
Purple,#A261CF,33
Violet,#643F9C,37
Royal,#4D2C89,39
Storm,#757ADB,42
Navy,#212B5F,46
Blue,#324BA9,49
Splash,#6394DD,52
Sky,#AEC8FF,54
Stonewash,#7895C1,55
Steel,#556979,57
Denim,#2F4557,58
Azure,#0A3D67,61
Caribbean,#0086CE,62
Teal,#2B768F,63
Aqua,#72C4C4,67
Seafoam,#B2E2BD,71
Jade,#61AB89,73
Emerald,#20603F,77
Jungle,#1E361A,79
Forest,#425035,81
Swamp,#687F67,84
Avocado,#567C34,85
Green,#629C3F,86
Leaf,#A5E32D,90
Spring,#A9A032,95
Goldenrod,#BEA55D,100
Lemon,#FFE63B,103
Banana,#FFEC80,106
Ivory,#FFD297,109
Gold,#E8AF49,111
Sunshine,#FA912B,114
Orange,#D5602B,119
Fire,#EF5C23,123
Tangerine,#FF7360,125
Sand,#B27749,128
Beige,#CABBA2,130
Stone,#827A64,131
Slate,#564D48,133
Soil,#5A4534,140
Brown,#8E5B3F,144
Chocolate,#563012,145
Rust,#8B3220,148
Tomato,#BA311C,149
Crimson,#850012,153
Blood,#451717,156
Maroon,#652127,157
Red,#C1272D,159
Carmine,#B13A3A,162
Coral,#CC6F6F,164
Magenta,#E934AA,168
Pink,#E77FBF,173
Rose,#FFD6F6,175
Heather,#9778BE,32
Orchid,#DA4FFF,34
Oilslick,#352C27,18
Sapphire,#0D0A5B,45
Wine,#4D0F28,171
Mauve,#9C4975,172
Moon,#D8D7D8,4
Marigold,#FFB53C,113
Tan,#C3996F,129
Cinnamon,#C15A39,126
Spearmint,#148E67,74
Mantis,#9BFF9D,88
Shamrock,#236825,78
Hunter,#1E2716,80
Iris,#525195,41
Bronze,#B2560D,120
Saffron,#FF8500,115
Pearl,#FBEDFA,176
Ruby,#CE000D,151
Berry,#8C272D,158
Hickory,#72573A,141
Cyan,#00FFF1,65
Ultramarine,#1C51E7,48
Smoke,#9494A9,11
Plum,#863290,26
Honey,#D1B300,102
Copper,#A44B28,147
Taupe,#6D675B,132
Abyss,#0D1E25,59
Antique,#D8D6CD,2
Gloom,#545365,12
Robin,#9AEAEF,66
Spruce,#8DBCB4,69
Pear,#8ECE56,89
Honeydew,#D1E572,92
Amber,#C18E1B,101
Yellow,#F9E255,104
Peach,#FFB576,117
Clay,#603E3D,137
Brick,#9A534D,163
Terracotta,#B24407,121
Bubblegum,#E5A9FF,174
Sanddollar,#EDE8B0,107
Eggplant,#3F2B66,40
Indigo,#2D237A,44
Fern,#7ECE73,87
Amethyst,#993BD1,35
Moss,#7E7645,99
Cherry,#AA0024,152
Cerulean,#00B4D5,64
Lead,#413C40,13
Wisteria,#724D79,27
Watermelon,#DB518D,167
Sanguine,#2D0102,155
Ginger,#91532A,143
Olive,#697135,97
Tarnish,#855B33,142
Pistachio,#E2FFE6,70
Overcast,#444F69,56
Blackberry,#4C2A4F,24
Grapefruit,#F7FF6F,105
Flint,#636268,15
Radioactive,#C6FF00,91
Orca,#E1DFFF,6
Cerise,#A12928,161
Carrot,#FF5500,122
Peacock,#1F483A,76
Periwinkle,#4866D5,50
Cobalt,#013485,47
Fog,#A794B2,29
Sable,#57372C,138
Flaxen,#FDE9AC,108
Metals,#D1B045,112
Thicket,#005D48,75
Murk,#4B4420,98
Latte,#977B6C,135
Peridot,#E8FCB4,93
Cornflower,#76A8FF,53
Dust,#9D9D9F,9
Grape,#580FC0,38
Lapis,#2F83FF,51
Turquoise,#3CA2A4,68
Mist,#E1CDFE,30
Phthalo,#0B2D46,60
Mint,#9AFFC7,72
Algae,#97AF8B,83
Camo,#51684C,82
Chartreuse,#B4CD3D,94
Caramel,#C47149,127
Umber,#301E1A,139
Pumpkin,#FF6841,124
Blush,#FEA0A0,165
Raspberry,#8A024A,170
Garnet,#581014,154
Dirt,#774840,136
Cream,#FFEFDC,1
Cottoncandy,#EB799A,166
Driftwood,#766259,134
Auburn,#7B3C1D,146
Buttercup,#F6BF6C,110
Strawberry,#DF3236,160
Vermilion,#E22D18,150
Fuchsia,#E7008B,169
Cantaloupe,#FF984F,118
Sunset,#FFA147,116
Crocodile,#828335,96
Twilight,#484AA1,43
Nightshade,#7930B5,36
Eldritch,#252A24,21
Shale,#4D484F,14
