# name, rarity, ancient name
Basic,Plentiful,Modern
Iridescent,Rare,Modern
Tiger,Common,Modern
Clown,Common,Modern
Speckle,Common,Modern
Ripple,Uncommon,Modern
Bar,Uncommon,Modern
Crystal,Rare,Modern
Vipera,Uncommon,Modern
Piebald,Common,Modern
Cherub,Uncommon,Modern
Poison,Limited,Modern
Giraffe,Uncommon,Modern
Petals,Rare,Modern
Jupiter,Uncommon,Modern
Skink,Limited,Modern
Falcon,Common,Modern
Metallic,Rare,Modern
Savanna,Common,Modern
Jaguar,Uncommon,Modern
Wasp,Rare,Modern
Tapir,Common,Modern
Pinstripe,Limited,Modern
Python,Limited,Modern
Starmap,Rare,Modern
Lionfish,Uncommon,Modern
Laced,Common,Modern
Giraffe (Gaoler),Uncommon,Gaoler
Wasp (Gaoler),Rare,Gaoler
Shaggy (Gaoler),Common,Gaoler
Falcon (Gaoler),Common,Gaoler
Piebald (Gaoler),Common,Gaoler
Pinstripe (Gaoler),Limited,Gaoler
Jaguar (Gaoler),Uncommon,Gaoler
Bar (Gaoler),Uncommon,Gaoler
Tapir (Gaoler),Common,Gaoler
Tiger (Gaoler),Common,Gaoler
Crystal (Gaoler),Rare,Gaoler
Mosaic (Gaoler),Uncommon,Gaoler
Phantom (Gaoler),Limited,Gaoler
Leopard,Common,Modern
Slime,Limited,Modern
Fade,Common,Modern
Cherub (Banescale),Uncommon,Banescale
Jaguar (Banescale),Uncommon,Banescale
Pinstripe (Banescale),Limited,Banescale
Tiger (Banescale),Common,Banescale
Marble (Banescale),Common,Banescale
Laced (Banescale),Common,Banescale
Metallic (Banescale),Rare,Banescale
Savanna (Banescale),Common,Banescale
Petals (Banescale),Rare,Banescale
Skink (Banescale),Limited,Banescale
Poison (Banescale),Limited,Banescale
Chevron (Banescale),Uncommon,Banescale
Candycane (Banescale),Limited,Banescale
Ragged (Banescale),Uncommon,Banescale
Swirl,Common,Modern
Mosaic,Uncommon,Modern
Stitched,Limited,Modern
Fade (Veilspun),Common,Veilspun
Laced (Veilspun),Common,Veilspun
Tapir (Veilspun),Common,Veilspun
Vipera (Veilspun),Uncommon,Veilspun
Jupiter (Veilspun),Uncommon,Veilspun
Starmap (Veilspun),Rare,Veilspun
Stitched (Veilspun),Limited,Veilspun
Skink (Veilspun),Limited,Veilspun
Wasp (Veilspun),Rare,Veilspun
Bright (Veilspun),Uncommon,Veilspun
Arc (Veilspun),Limited,Veilspun
Shell (Veilspun),Uncommon,Veilspun
Sphinxmoth (Veilspun),Uncommon,Veilspun
Laced (Gaoler),Common,Gaoler
Tapir (Banescale),Common,Banescale
Clown (Banescale),Common,Banescale
Clown (Veilspun),Common,Veilspun
Clown (Gaoler),Common,Gaoler
Ripple (Gaoler),Uncommon,Gaoler
Ripple (Banescale),Uncommon,Banescale
Falcon (Banescale),Common,Banescale
Giraffe (Banescale),Uncommon,Banescale
Flaunt,Uncommon,Modern
Giraffe (Veilspun),Uncommon,Veilspun
Ribbon,Uncommon,Modern
Fade (Banescale),Common,Banescale
Fade (Gaoler),Common,Gaoler
Pharaoh,Rare,Modern
Ground,Limited,Modern
Bar (Aberration),Uncommon,Aberration
Fade (Aberration),Common,Aberration
Crystal (Aberration),Rare,Aberration
Falcon (Aberration),Common,Aberration
Diamond (Aberration),Limited,Aberration
Giraffe (Aberration),Uncommon,Aberration
Tapir (Aberration),Common,Aberration
Vipera (Aberration),Uncommon,Aberration
Ground (Aberration),Limited,Aberration
Speckle (Aberration),Common,Aberration
Jaguar (Aberration),Uncommon,Aberration
