# name, rarity, ancient name
Basic,Plentiful,Modern
Shimmer,Rare,Modern
Stripes,Common,Modern
Eye Spots,Common,Modern
Freckle,Common,Modern
Seraph,Uncommon,Modern
Current,Uncommon,Modern
Daub,Uncommon,Modern
Facet,Rare,Modern
Hypnotic,Uncommon,Modern
Paint,Common,Modern
Peregrine,Common,Modern
Toxin,Limited,Modern
Butterfly,Rare,Modern
Hex,Uncommon,Modern
Saturn,Uncommon,Modern
Spinner,Limited,Modern
Alloy,Rare,Modern
Safari,Common,Modern
Rosette,Uncommon,Modern
Bee,Rare,Modern
Striation,Common,Modern
Trail,Limited,Modern
Morph,Limited,Modern
Noxtide,Uncommon,Modern
Constellation,Rare,Modern
Edged,Common,Modern
Hex (Gaoler),Uncommon,Gaoler
Bee (Gaoler),Rare,Gaoler
Streak (Gaoler),Common,Gaoler
Peregrine (Gaoler),Common,Gaoler
Paint (Gaoler),Common,Gaoler
Trail (Gaoler),Limited,Gaoler
Rosette (Gaoler),Uncommon,Gaoler
Daub (Gaoler),Uncommon,Gaoler
Striation (Gaoler),Common,Gaoler
Stripes (Gaoler),Common,Gaoler
Facet (Gaoler),Rare,Gaoler
Breakup (Gaoler),Uncommon,Gaoler
Spirit (Gaoler),Limited,Gaoler
Clouded,Common,Modern
Sludge,Limited,Modern
Blend,Common,Modern
Seraph (Banescale),Uncommon,Banescale
Rosette (Banescale),Uncommon,Banescale
Trail (Banescale),Limited,Banescale
Stripes (Banescale),Common,Banescale
Mottle (Banescale),Common,Banescale
Edged (Banescale),Common,Banescale
Alloy (Banescale),Rare,Banescale
Safari (Banescale),Common,Banescale
Butterfly (Banescale),Rare,Banescale
Spinner (Banescale),Limited,Banescale
Toxin (Banescale),Limited,Banescale
Arrow (Banescale),Uncommon,Banescale
Sugarplum (Banescale),Limited,Banescale
Tear (Banescale),Uncommon,Banescale
Marbled,Common,Modern
Breakup,Uncommon,Modern
Patchwork,Limited,Modern
Bee (Veilspun),Rare,Veilspun
Blend (Veilspun),Common,Veilspun
Edged (Veilspun),Common,Veilspun
Striation (Veilspun),Common,Veilspun
Hypnotic (Veilspun),Uncommon,Veilspun
Saturn (Veilspun),Uncommon,Veilspun
Constellation (Veilspun),Rare,Veilspun
Patchwork (Veilspun),Limited,Veilspun
Spinner (Veilspun),Limited,Veilspun
Vivid (Veilspun),Uncommon,Veilspun
Loop (Veilspun),Limited,Veilspun
Web (Veilspun),Uncommon,Veilspun
Hawkmoth (Veilspun),Uncommon,Veilspun
Edged (Gaoler),Common,Gaoler
Striation (Banescale),Common,Banescale
Eye Spots (Banescale),Common,Banescale
Eye Spots (Veilspun),Common,Veilspun
Eye Spots (Gaoler),Common,Gaoler
Current (Gaoler),Uncommon,Gaoler
Current (Banescale),Uncommon,Banescale
Peregrine (Banescale),Common,Banescale
Hex (Banescale),Uncommon,Banescale
Flair,Uncommon,Modern
Hex (Veilspun),Uncommon,Veilspun
Eel,Uncommon,Modern
Blend (Banescale),Common,Banescale
Blend (Gaoler),Common,Gaoler
Sarcophagus,Rare,Modern
Fissure,Limited,Modern
Daub (Aberration),Uncommon,Aberration
Facet (Aberration),Rare,Aberration
Blend (Aberration),Common,Aberration
Peregrine (Aberration),Common,Aberration
Spade (Aberration),Limited,Aberration
Hex (Aberration),Uncommon,Aberration
Striation (Aberration),Common,Aberration
Hypnotic (Aberration),Uncommon,Aberration
Fissure (Aberration),Limited,Aberration
Freckle (Aberration),Common,Aberration
Rosette (Aberration),Uncommon,Aberration
Noxtide (Aberration),Uncommon,Aberration
Sarcophagus (Aberration),Rare,Aberration
Weaver (Aberration),Limited,Aberration
Marbled (Aberration),Common,Aberration
Safari (Aberration),Common,Aberration
Eel (Aberration),Uncommon,Aberration
Sludge (Aberration),Limited,Aberration
Patchwork (Aberration),Limited,Aberration
Bee (Aberration),Rare,Aberration
Clouded (Banescale),Common,Banescale
Myrid,Limited,Modern
Flair (Gaoler),Uncommon,Gaoler
Flair (Aberration),Uncommon,Aberration
Foam,Limited,Modern
Foam (Undertide),Limited,Undertide
Blend (Undertide),Common,Undertide
Pack (Undertide),Uncommon,Undertide
Daub (Undertide),Uncommon,Undertide
Facet (Undertide),Rare,Undertide
Seraph (Undertide),Uncommon,Undertide
Sarcophagus (Undertide),Rare,Undertide
Trail (Undertide),Limited,Undertide
Peregrine (Undertide),Common,Undertide
Hex (Undertide),Uncommon,Undertide
Eel (Undertide),Uncommon,Undertide
Bee (Undertide),Rare,Undertide
Noxtide (Undertide),Uncommon,Undertide
Chess (Undertide),Common,Undertide
Saddle (Undertide),Uncommon,Undertide
Safari (Undertide),Common,Undertide
Current (Undertide),Uncommon,Undertide
Toxin (Undertide),Limited,Undertide
Freckle (Undertide),Common,Undertide
Rings (Undertide),Limited,Undertide
Marbled (Undertide),Common,Undertide
Myrid (Undertide),Limited,Undertide
Paisley,Limited,Modern
Paisley (Banescale),Limited,Banescale
Paisley (Veilspun),Limited,Veilspun
Peregrine (Veilspun),Common,Veilspun
Toxin (Veilspun),Limited,Veilspun
Sludge (Veilspun),Limited,Veilspun
Clouded (Veilspun),Common,Veilspun
Freckle (Veilspun),Common,Veilspun
Butterfly (Veilspun),Rare,Veilspun
Daub (Veilspun),Uncommon,Veilspun
Facet (Veilspun),Rare,Veilspun
Freckle (Banescale),Common,Banescale
Blend (Aether),Common,Aether
Flair (Aether),Uncommon,Aether
Daub (Aether),Uncommon,Aether
Myrid (Aether),Limited,Aether
Rosette (Aether),Uncommon,Aether
Saturn (Aether),Uncommon,Aether
Butterfly (Aether),Rare,Aether
Breakup (Aether),Uncommon,Aether
Edged (Aether),Common,Aether
Alloy (Aether),Rare,Aether
Noxtide (Aether),Uncommon,Aether
Paint (Aether),Common,Aether
Morph (Aether),Limited,Aether
Spinner (Aether),Limited,Aether
Thread (Aether),Common,Aether
Blaze (Aether),Uncommon,Aether
Foam (Aether),Limited,Aether
Patchwork (Aether),Limited,Aether
Flicker (Aether),Rare,Aether
Icing (Aether),Limited,Aether
Constellation (Aether),Rare,Aether
Eye Spots (Aether),Common,Aether
Jester,Rare,Modern
Saddle (Gaoler),Uncommon,Gaoler
Foam (Gaoler),Limited,Gaoler
Toxin (Gaoler),Limited,Gaoler
Eel (Gaoler),Uncommon,Gaoler
Safari (Gaoler),Common,Gaoler
Spinner (Gaoler),Limited,Gaoler
Sludge (Gaoler),Limited,Gaoler
Marbled (Gaoler),Common,Gaoler
Patchwork (Gaoler),Limited,Gaoler
Clouded (Gaoler),Common,Gaoler
Daub (Banescale),Uncommon,Banescale
Facet (Banescale),Rare,Banescale
Eel (Banescale),Uncommon,Banescale
Foam (Banescale),Limited,Banescale
Sarcophagus (Banescale),Rare,Banescale
Fissure (Sandsurge),Limited,Sandsurge
Spire (Sandsurge),Common,Sandsurge
Myrid (Sandsurge),Limited,Sandsurge
Saddle (Sandsurge),Uncommon,Sandsurge
Seraph (Sandsurge),Uncommon,Sandsurge
Blend (Sandsurge),Common,Sandsurge
Jester (Sandsurge),Rare,Sandsurge
Flair (Sandsurge),Uncommon,Sandsurge
Arowana (Sandsurge),Common,Sandsurge
Malachite (Sandsurge),Limited,Sandsurge
Eye Spots (Sandsurge),Common,Sandsurge
Saturn (Sandsurge),Uncommon,Sandsurge
Rosette (Sandsurge),Uncommon,Sandsurge
Noxtide (Sandsurge),Uncommon,Sandsurge
Breakup (Sandsurge),Uncommon,Sandsurge
Paint (Sandsurge),Common,Sandsurge
Trail (Sandsurge),Limited,Sandsurge
Morph (Sandsurge),Limited,Sandsurge
Safari (Sandsurge),Common,Sandsurge
Coil (Dusthide),Uncommon,Dusthide
Diamondback (Sandsurge),Uncommon,Sandsurge
Bee (Sandsurge),Rare,Sandsurge
Sludge (Sandsurge),Limited,Sandsurge
Marbled (Sandsurge),Common,Sandsurge
Striation (Sandsurge),Common,Sandsurge
Stripes (Sandsurge),Common,Sandsurge
Marlin (Sandsurge),Limited,Sandsurge
Blaze,Uncommon,Modern
Blaze (Aberration),Uncommon,Aberration
Blaze (Banescale),Uncommon,Banescale
Blaze (Gaoler),Uncommon,Gaoler
Blaze (Sandsurge),Uncommon,Sandsurge
Blaze (Undertide),Uncommon,Undertide
Blaze (Veilspun),Uncommon,Veilspun
Clouded (Aberration),Common,Aberration
Constellation (Aberration),Rare,Aberration
Current (Aberration),Uncommon,Aberration
Eye Spots (Aberration),Common,Aberration
Foam (Aberration),Limited,Aberration
Jester (Aberration),Rare,Aberration
Myrid (Aberration),Limited,Aberration
Paisley (Aberration),Limited,Aberration
Seraph (Aberration),Uncommon,Aberration
Spinner (Aberration),Limited,Aberration
Toxin (Aberration),Limited,Aberration
Trail (Aberration),Limited,Aberration
Saddle,Uncommon,Modern
Saddle (Aberration),Uncommon,Aberration
Saddle (Aether),Uncommon,Aether
Saddle (Banescale),Uncommon,Banescale
Saddle (Veilspun),Uncommon,Veilspun
Malachite,Limited,Modern
Daub (Auraboa),Uncommon,Auraboa
Saddle (Auraboa),Uncommon,Auraboa
Myrid (Auraboa),Limited,Auraboa
Larvae (Auraboa),Common,Auraboa
Blend (Auraboa),Common,Auraboa
Peregrine (Auraboa),Common,Auraboa
Paisley (Auraboa),Limited,Auraboa
Flair (Auraboa),Uncommon,Auraboa
Hex (Auraboa),Uncommon,Auraboa
Jester (Auraboa),Rare,Auraboa
Rosette (Auraboa),Uncommon,Auraboa
Edged (Auraboa),Common,Auraboa
Alloy (Auraboa),Rare,Auraboa
Riopa (Auraboa),Uncommon,Auraboa
Breakup (Auraboa),Uncommon,Auraboa
Weaver (Auraboa),Limited,Auraboa
Paint (Auraboa),Common,Auraboa
Morph (Auraboa),Limited,Auraboa
Diamondback (Auraboa),Uncommon,Auraboa
Current (Auraboa),Uncommon,Auraboa
Striation (Auraboa),Common,Auraboa
Stripes (Auraboa),Common,Auraboa
Hypnotic (Auraboa),Uncommon,Auraboa
Lacquer (Auraboa),Common,Auraboa
Woven (Auraboa),Rare,Auraboa
