# name, rarity, ancient name
Basic,Plentiful,Modern
Circuit,Rare,Modern
Veined (Gaoler),Limited,Gaoler
Fans (Gaoler),Rare,Gaoler
Gembond,Uncommon,Modern
Underbelly,Common,Modern
Crackle,Uncommon,Modern
Smoke,Uncommon,Modern
Spines,Uncommon,Modern
Okapi,Uncommon,Modern
Glimmer,Rare,Modern
Thylacine,Common,Modern
Stained,Rare,Modern
Contour,Common,Modern
Runes,Uncommon,Modern
Scales,Limited,Modern
Lace,Uncommon,Modern
Opal,Rare,Modern
Capsule,Limited,Modern
Smirch,Limited,Modern
Ghost,Uncommon,Modern
Filigree,Rare,Modern
Firefly,Limited,Modern
Ringlets,Uncommon,Modern
Peacock,Common,Modern
Ghost (Gaoler),Uncommon,Gaoler
Shardflank (Gaoler),Common,Gaoler
Gnarlhorns (Gaoler),Rare,Gaoler
Smoke (Gaoler),Uncommon,Gaoler
Thylacine (Gaoler),Common,Gaoler
Ringlets (Gaoler),Uncommon,Gaoler
Underbelly (Gaoler),Common,Gaoler
Runes (Gaoler),Uncommon,Gaoler
Scorpion (Gaoler),Limited,Gaoler
Wintercoat (Gaoler),Uncommon,Gaoler
Weathered (Gaoler),Limited,Gaoler
Blossom (Gaoler),Limited,Gaoler
Opal (Gaoler),Rare,Gaoler
Veined,Limited,Modern
Trimmings (Banescale),Common,Banescale
Ringlets (Banescale),Uncommon,Banescale
Fans (Banescale),Rare,Banescale
Squiggle (Banescale),Limited,Banescale
Filigree (Banescale),Rare,Banescale
Lace (Banescale),Uncommon,Banescale
Skeletal (Banescale),Limited,Banescale
Contour (Banescale),Common,Banescale
Ghost (Banescale),Uncommon,Banescale
Wraith (Banescale),Rare,Banescale
Porcupine (Banescale),Limited,Banescale
Crackle (Banescale),Uncommon,Banescale
Plumage (Banescale),Rare,Banescale
Underbelly (Banescale),Common,Banescale
Keel,Limited,Modern
Glowtail,Rare,Modern
Braids (Gaoler),Uncommon,Gaoler
Capsule (Veilspun),Limited,Veilspun
Runes (Veilspun),Uncommon,Veilspun
Crackle (Veilspun),Uncommon,Veilspun
Okapi (Veilspun),Uncommon,Veilspun
Peacock (Veilspun),Common,Veilspun
Firefly (Veilspun),Limited,Veilspun
Opal (Veilspun),Rare,Veilspun
Branches (Veilspun),Limited,Veilspun
Flecks (Veilspun),Limited,Veilspun
Beetle (Veilspun),Limited,Veilspun
Diaphanous (Veilspun),Rare,Veilspun
Mop (Veilspun),Rare,Veilspun
Thorns (Veilspun),Uncommon,Veilspun
Stained (Banescale),Rare,Banescale
Underbelly (Veilspun),Common,Veilspun
Stained (Gaoler),Rare,Gaoler
Stained (Veilspun),Rare,Veilspun
Koi,Rare,Modern
Capsule (Banescale),Limited,Banescale
Capsule (Gaoler),Limited,Gaoler
Gliders (Banescale),Limited,Banescale
Pinions (Gaoler),Rare,Gaoler
Angler (Veilspun),Limited,Veilspun
Polkadot (Aberration),Limited,Aberration
Kumo (Aberration),Common,Aberration
Mucous (Aberration),Limited,Aberration
Polypore (Aberration),Limited,Aberration
Capsule (Aberration),Limited,Aberration
Fangs (Aberration),Uncommon,Aberration
Firefly (Aberration),Limited,Aberration
Frills (Aberration),Rare,Aberration
Jewels (Aberration),Rare,Aberration
Ghost (Aberration),Uncommon,Aberration
Glowtail (Aberration),Rare,Aberration
Peacock (Aberration),Common,Aberration
Veined (Aberration),Limited,Aberration
Scales (Aberration),Limited,Aberration
Thylacine (Aberration),Common,Aberration
Glimmer (Aberration),Rare,Aberration
Glimmer (Banescale),Rare,Banescale
Sparkle (Aberration),Uncommon,Aberration
Sparkle,Uncommon,Modern
Sparkle (Banescale),Uncommon,Banescale
Sparkle (Gaoler),Uncommon,Gaoler
Sparkle (Veilspun),Uncommon,Veilspun
Glimmer (Gaoler),Rare,Gaoler
Glimmer (Veilspun),Rare,Veilspun
Flecks,Limited,Modern
Flecks (Aberration),Limited,Aberration
Soap,Rare,Modern
Peacock (Banescale),Common,Banescale
Points,Common,Modern
Koi (Veilspun),Rare,Veilspun
Underbelly (Undertide),Common,Undertide
Stained (Undertide),Rare,Undertide
Capsule (Undertide),Limited,Undertide
Flecks (Undertide),Limited,Undertide
Veined (Undertide),Limited,Undertide
Runes (Undertide),Uncommon,Undertide
Crackle (Undertide),Uncommon,Undertide
Filigree (Undertide),Rare,Undertide
Circuit (Undertide),Rare,Undertide
Featherbeard (Undertide),Limited,Undertide
Remora (Undertide),Rare,Undertide
Ringlets (Undertide),Uncommon,Undertide
Ghost (Undertide),Uncommon,Undertide
Sparkle (Undertide),Uncommon,Undertide
Gembond (Undertide),Uncommon,Undertide
Soap (Undertide),Rare,Undertide
Tentacles (Undertide),Rare,Undertide
